,Unnamed: 0,dR/dT,models,experiment,var
412,4,0.0021141650234601,gfdl,slow,Tadv
413,5,0.0161422816786646,hg2,slow,Tadv
414,6,0.0115816500036909,hg3,slow,Tadv
415,7,-0.0080731777042171,ipsl,slow,Tadv
416,8,0.004385083327862,mies2l,slow,Tadv
417,9,0.0041659284620957,miesm,slow,Tadv
418,10,0.0083214424762353,mi5,slow,Tadv
419,11,-0.0075023719463451,mi6,slow,Tadv
420,12,0.0043170033945021,mpi,slow,Tadv
421,13,-0.0010191189558099,mrcgcm,slow,Tadv
422,14,-0.0014283720547743,mresm,slow,Tadv
423,15,0.0206867646497421,ukesm,slow,Tadv
425,0,-0.0046298666727844,ccsm4,slow,RH
426,1,0.0084185540256863,canam4,slow,RH
427,2,-0.037973633397668,canesm5,slow,RH
428,3,0.0582276423561765,e3sm,slow,RH
429,4,-0.0062751509985229,gfdl,slow,RH
430,5,-0.0099208494980275,hg2,slow,RH
431,6,0.0151513915422925,hg3,slow,RH
432,7,-0.0663831707833474,ipsl,slow,RH
433,8,0.0464354071788523,mies2l,slow,RH
434,9,-0.0377063366834734,miesm,slow,RH
435,10,0.0169515028249672,mi5,slow,RH
436,11,0.0616576620724559,mi6,slow,RH
437,12,-0.0176476327574675,mpi,slow,RH
438,13,0.0071530020241269,mrcgcm,slow,RH
439,14,-0.0985013632921014,mresm,slow,RH
440,15,0.0109146860015227,ukesm,slow,RH
442,0,-0.0086818395126904,ccsm4,slow,Omega
443,1,-0.0066621786990539,canam4,slow,Omega
444,2,-0.0018886040341123,canesm5,slow,Omega
445,3,-0.0167722216339375,e3sm,slow,Omega
446,4,-0.0100546612084829,gfdl,slow,Omega
447,5,-0.0074523720933029,hg2,slow,Omega
448,6,-0.0003906883577713,hg3,slow,Omega
449,7,0.0033198636704741,ipsl,slow,Omega
450,8,-0.0063242181295255,mies2l,slow,Omega
451,9,-0.0001814030272742,miesm,slow,Omega
452,10,-0.0035063746001146,mi5,slow,Omega
453,11,-0.0165429377836147,mi6,slow,Omega
454,12,-0.0021471473105882,mpi,slow,Omega
455,13,-0.0076488861512589,mrcgcm,slow,Omega
456,14,-0.0092302862198272,mresm,slow,Omega
457,15,0.0018101332311573,ukesm,slow,Omega
459,0,-0.0226519931850631,ccsm4,slow,WS
460,1,-0.0196830214799252,canam4,slow,WS
